"sku","stevilo_v_paketu"
"48108400134",1
"48108400112",1
"481083v4299",5
"481083h2299",5
"481083w3299",5
"48108300399",5
"48108302099",5
"48108308999",5
"48108300199",5
"481082v4299",25
"481082h2299",25
"481082w3299",25
"48108200399",25
"48108202099",25
"48108208999",25
"48108200199",25
"481081v4299",25
"481081h2299",25
"481081w3299",25
"48108100399",25
"48108102099",25
"48108108999",25
"48108100199",25
"481080v4299",25
"481080h2299",25
"481080w3299",25
"48108000399",25
"48108002099",25
"48108008999",25
"48108000199",25
"481007122i3",1
"481007122i2",1
"48100912299",5
"481021v4236",1
"481021v4234",1
"481021v4212",1
"481021h2236",1
"481021h2234",1
"481021h2212",1
"48102157436",1
"48102157434",1
"48102157412",1
"48102158036",1
"48102158034",1
"48102158012",1
"48101120036",1
"48101120034",1
"48101120012",1
"48101123536",1
"48101123534",1
"48101123512",1
"48101702899",5
"48101602899",5
"48101502899",5
"48100302899",25
"48103102899",25
"481031e1299",25
"48100402099",25
"481001e1499",1
"481001w3299",1
"48100111899",1
"481001w3799",1
"48100320099",25
"48100312299",25
"48100323599",25
"48100303799",25
"48100304099",25
"48103104099",25
"48103103399",25
"48103120099",25
"48103112299",25
"48103123599",25
"48103144099",25
"48100308999",25
"48101998099",6
"481019e0899",6
"481046w2999",6
"48104711899",1
"481047h2299",1
"481047w3299",1
"48104700199",1
"48104702099",1
"48104708999",1
"48101708999",5
"48101608999",5
"48101508999",5
"48103108999",25
"48100611899",5
"48100511899",5
"48100311899",25
"48103111899",25
"481006w3799",5
"481005w3799",5
"481003w3799",25
"481031w3799",25
"481006w3299",5
"481005w3299",5
"481003w3299",25
"481031w3299",25
"481006e1499",5
"481005e1499",5
"481003e1499",25
"481031e1499",25
"481056w2899",1
"481056w3099",1
"48105685699",1
"481056w2999",1
"48101145036",1
"48101145034",1
"48101145012",1
"48101100436",1
"48101100434",1
"48101100412",1
"481058h3199",1
"481058y7299",1
"481058y7199",1
"481058y7399",1
"481046e0599",6
"481046w2799",6
"48104685899",6
"48104685699",6
"48104100199",5
"48104000199",5
"48103900199",25
"481057q4199",5
"48105785699",5
"48105212299",5
"48105200499",5
"48105245099",5
"48105200399",5
"481052h2299",5
"48105202099",5
"48105200299",5
"48105312299",5
"48105300499",5
"48105345099",5
"48105300399",5
"481053h2299",5
"48105302099",5
"48105300199",5
"481056h9599",1
"48105012299",5
"48105000499",5
