"sku","europska_stevilka_artikla"
"48102300399","8720289531188"
"48102300299","8720289531171"
"48102245099","8720289531164"
"48100303999","8720289530921"
"48100314599","8720289530914"
"48100335099","8720289530907"
"48100400299","8720289530891"
"481016h2299","8719322226952"
"481007122i1","8719322226945"
"48108402036","8719322226877"
"48108402034","8719322226860"
"48108402012","8719322226853"
"48108400336","8719322226846"
"48108400334","8719322226839"
"48108400312","8719322226822"
"48108400136","8719322226815"
"48108400134","8719322226808"
"48108400112","8719322226792"
"481083v4299","8719322226785"
"481083h2299","8719322226778"
"481083w3299","8719322226761"
"48108300399","8719322226754"
"48108302099","8719322226747"
"48108308999","8719322226730"
"48108300199","8719322226723"
"481082v4299","8719322226716"
"481082h2299","8719322226709"
"481082w3299","8719322226693"
"48108200399","8719322226686"
"48108202099","8719322226679"
"48108208999","8719322226662"
"48108200199","8719322226655"
"481081v4299","8719322226648"
"481081h2299","8719322226631"
"481081w3299","8719322226624"
"48108100399","8719322226617"
"48108102099","8719322226600"
"48108108999","8719322226594"
"48108100199","8719322226587"
"481080v4299","8719322226570"
"481080h2299","8719322226563"
"481080w3299","8719322226556"
"48108000399","8719322226549"
"48108002099","8719322226532"
"48108008999","8719322226525"
"48108000199","8719322226518"
"481007122i3","8719322226501"
"481007122i2","8719322226495"
"48100912299","8719322226488"
"481021v4236","8719322226471"
"481021v4234","8719322226464"
"481021v4212","8719322226457"
"481021h2236","8719322226440"
"481021h2234","8719322226433"
"481021h2212","8719322226426"
"48102157436","8719322226419"
"48102157434","8719322226402"
"48102157412","8719322226396"
"48102158036","8719322226389"
"48102158034","8719322226372"
"48102158012","8719322226365"
"48101120036","8719322226358"
"48101120034","8719322226341"
"48101120012","8719322226334"
"48101123536","8719322226327"
"48101123534","8719322226310"
"48101123512","8719322226303"
"48101702899","8719322226297"
"48101602899","8719322226280"
"48101502899","8719322226273"
"48100302899","8719322226266"
"48103102899","8719322226259"
"481031e1299","8719322226242"
"48100402099","8719322226235"
"481001e1499","8719322226228"
"481001w3299","8719322226211"
"48100111899","8719322226204"
"481001w3799","8719322226198"
"48100320099","8719322226167"
"48100312299","8719322226150"
"48100323599","8719322226143"
"48100303799","8719322226136"
"48100304099","8719322226129"
"48103104099","8719322226112"
"48103103399","8719322226105"
"48103120099","8719322226099"
"48103112299","8719322226082"
"48103123599","8719322226075"
"48103144099","8719322226068"
"48100308999","8719322225993"
"48101998099","8719322225986"
"481019e0899","8719322225979"
"481046w2999","8719322225962"
"48104711899","8719322225955"
"481047h2299","8719322225948"
"481047w3299","8719322225931"
"48104700199","8719322225924"
"48104702099","8719322225917"
"48104708999","8719322225900"
"48101708999","8719322225894"
"48101608999","8719322225887"
"48101508999","8719322225870"
"48103108999","8719322225856"
"48100611899","8719322225849"
"48100511899","8719322225832"
"48100311899","8719322225825"
"48103111899","8719322225818"
"481006w3799","8719322225801"
"481005w3799","8719322225795"
"481003w3799","8719322225788"
"481031w3799","8719322225771"
"481006w3299","8719322225764"
"481005w3299","8719322225757"
"481003w3299","8719322225740"
"481031w3299","8719322225733"
"481006e1499","8719322225726"
"481005e1499","8719322225719"
"481003e1499","8719322225702"
"481031e1499","8719322225696"
"481056w2899","8719322225689"
"481056w3099","8719322225672"
"48105685699","8719322225665"
"481056w2999","8719322225658"
"48101145036","8719322225603"
"48101145034","8719322225597"
"48101145012","8719322225580"
"48101100436","8719322225573"
"48101100434","8719322225566"
"48101100412","8719322225559"
"481058h3199","8719322224453"
"481058y7299","8719322224446"
"481058y7199","8719322224439"
"481058y7399","8719322224422"
"481046e0599","8719322224415"
"481046w2799","8719322224408"
"48104685899","8719322224392"
"48104685699","8719322224385"
"48104100199","8719322224378"
"48104000199","8719322224361"
"48103900199","8719322224354"
"481057q4199","8719322224347"
"48105785699","8719322224330"
"48105212299","8719322224323"
"48105200499","8719322224316"
"48105245099","8719322224309"
"48105200399","8719322224293"
"481052h2299","8719322224286"
"48105202099","8719322224279"
"48105200299","8719322224262"
"48105312299","8719322224248"
"48105300499","8719322224231"
"48105345099","8719322224224"
"48105300399","8719322224217"
"481053h2299","8719322224200"
"48105302099","8719322224194"
"48105300199","8719322224170"
"481056h9599","8719322224163"
"48105012299","8719322224071"
"48105000499","8719322224064"
"48105045099","8719322224057"
"48105002099","8719322224040"
"48105000199","8719322224033"
"48105000399","8719322224026"
"481050h2299","8719322224019"
"48105000299","8719322224002"
"48104812299","8719322223913"
"48104800499","8719322223906"
"48104845099","8719322223890"
"48104802099","8719322223883"
"48104800199","8719322223876"
"48104800399","8719322223869"
"481048h2299","8719322223852"
"48104800299","8719322223845"
"48105112299","8719322223838"
"48105100499","8719322223821"
"48105145099","8719322223814"
"48105102099","8719322223807"
"48105100199","8719322223791"
"48105100399","8719322223784"
"481051h2299","8719322223777"
"48105100299","8719322223760"
"48104332636","8719322223753"
"48104332634","8719322223746"
"48104332612","8719322223739"
"481043v4236","8719322223722"
"481043v4234","8719322223715"
"481043v4212","8719322223708"
"48104302036","8719322223692"
"48104302034","8719322223685"
"48104302012","8719322223678"
"481043h2236","8719322223661"
"481043h2234","8719322223654"
"481043h2212","8719322223647"
"48104400134","8719322223548"
"48104500199","8719322223531"
"48103800199","8719322223524"
"48103700199","8719322223517"
"48103600199","8719322223500"
"48101263836","8719322223494"
"48101263834","8719322223487"
"48101263812","8719322223470"
"481012e5836","8719322223463"
"481012e5834","8719322223456"
"481012e5812","8719322223449"
"48103502299","8719322223432"
"48103402299","8719322223425"
"48101996399","8719322223418"
"481035v4299","8719322223401"
"481035w0599","8719322223395"
"48103500199","8719322223388"
"48103503999","8719322223371"
"48103532699","8719322223364"
"481034v4299","8719322223357"
"481034w0599","8719322223340"
"48103400199","8719322223333"
"48101732699","8719322223326"
"481026910j6","8719322223319"
"481026910j5","8719322223302"
"481026w06j6","8719322223296"
"481026w06j5","8719322223289"
"481026908j6","8719322223272"
"481026908j5","8719322223265"
"481026898j6","8719322223258"
"481026898j5","8719322223241"
"48103103999","8719322223234"
"48102712299","8719322223227"
"48100804099","8719322223210"
"48100803799","8719322223203"
"48100800199","8719322223197"
"481012a6234","8719322223128"
"48101281912","8719322223111"
"48101281936","8719322223104"
"481012a6236","8719322223098"
"48101281934","8719322223081"
"481012a6212","8719322223067"
"48102050899","8719322223050"
"48102003799","8719322223043"
"48102012099","8719322223036"
"48102067099","8719322223029"
"48101989699","8719322223012"
"48101935299","8719322223005"
"48101941399","8719322222992"
"481019e5899","8719322222985"
"48102220099","8719322222978"
"48102200499","8719322222961"
"48102203399","8719322222954"
"48102200399","8719322222947"
"48102203999","8719322222930"
"48102200299","8719322222923"
"481025e1299","8719322222916"
"48102502099","8719322222909"
"48102500399","8719322222893"
"48102500299","8719322222886"
"48102500199","8719322222879"
"481017v4399","8719322222695"
"481017h2299","8719322222688"
"481017v4299","8719322222671"
"48101758099","8719322222664"
"48101750899","8719322222657"
"48101757499","8719322222640"
"48101657499","8719322222633"
"48101632699","8719322222626"
"48101650899","8719322222619"
"48101658099","8719322222596"
"48101600299","8719322222589"
"48101637099","8719322222572"
"481016v4399","8719322222565"
"48101602099","8719322222558"
"481016v4299","8719322222541"
"48101600399","8719322222534"
"48101600199","8719322222527"
"48101550899","8719322222510"
"48101558099","8719322222503"
"481015h2299","8719322222497"
"481015v4399","8719322222480"
"48101557499","8719322222473"
"481015v4299","8719322222466"
"48101532699","8719322222459"
"48100200399","8719322222442"
"48100202099","8719322222435"
"48100200199","8719322222428"
"481031v4399","8719322222411"
"481031h2299","8719322222404"
"48103403999","8719322222398"
"481003h2299","8719322222381"
"48103432699","8719322222374"
"481003v4399","8719322222367"
"481007040i3","8719322222169"
"481007040i2","8719322222152"
"481007040i1","8719322222145"
"481007037i3","8719322222138"
"481007037i2","8719322222121"
"481007037i1","8719322222114"
"48100904099","8719322222107"
"48100903799","8719322222091"
"48103103799","8719322222077"
"48103157499","8719322222060"
"48103158099","8719322222053"
"481031v4299","8719322222046"
"48103150899","8719322222039"
"48100357499","8719322222022"
"48100358099","8719322222015"
"481003v4299","8719322222008"
"48100350899","8719322221995"
"48100157499","8719322221988"
"48100158099","8719322221971"
"481001v4299","8719322221964"
"48100150899","8719322221957"
"48100657499","8719322221940"
"48100658099","8719322221933"
"481006v4299","8719322221926"
"48100650899","8719322221919"
"48100557499","8719322221902"
"48100558099","8719322221896"
"481005v4299","8719322221889"
"48100550899","8719322221872"
"481019a6299","8719322221865"
"48101987199","8719322221858"
"481019h0999","8719322221841"
"48101981999","8719322221834"
"48101994199","8719322221827"
"48101963899","8719322221810"
"481026902j6","8719322221803"
"481026902j5","8719322221797"
"481013440i6","8719322221780"
"481013440i5","8719322221773"
"481013440i4","8719322221766"
"481013e12i6","8719322221759"
"481013e12i5","8719322221742"
"481013e12i4","8719322221735"
"481013001i6","8719322221728"
"481013001i5","8719322221711"
"481013001i4","8719322221704"
"481007440i3","8719322221698"
"481007440i2","8719322221681"
"481007440i1","8719322221674"
"481007e12i3","8719322221667"
"481007e12i2","8719322221650"
"481007e12i1","8719322221643"
"481007001i3","8719322221636"
"481007001i2","8719322221629"
"481007001i1","8719322221612"
"48100062299","8719322221605"
"481000g2199","8719322221599"
"48100090299","8719322221582"
"48100944099","8719322221575"
"481009e1299","8719322221568"
"48100900199","8719322221551"
"48102137036","8719322221544"
"48102137034","8719322221537"
"48102137012","8719322221520"
"481021e1236","8719322221513"
"481021e1234","8719322221506"
"481021e1212","8719322221490"
"48102144036","8719322221483"
"48102144034","8719322221476"
"48102144012","8719322221469"
"48102102036","8719322221452"
"48102102034","8719322221445"
"48102102012","8719322221438"
"48102100236","8719322221421"
"48102100234","8719322221414"
"48102100212","8719322221407"
"48102100336","8719322221391"
"48102100334","8719322221384"
"48102100312","8719322221377"
"48102100136","8719322221360"
"48102100134","8719322221353"
"48102100112","8719322221346"
"48101100236","8719322221339"
"48101100234","8719322221322"
"48101100212","8719322221315"
"48101100336","8719322221308"
"48101100334","8719322221292"
"48101100312","8719322221285"
"48101100136","8719322221278"
"48101100134","8719322221261"
"48101100112","8719322221254"
"48103135099","8719322221247"
"48103114599","8719322221230"
"48103137099","8719322221223"
"48103113099","8719322221216"
"48103145099","8719322221209"
"48103100399","8719322221193"
"48103100499","8719322221186"
"48103102099","8719322221179"
"48103100299","8719322221162"
"48103100199","8719322221155"
"481011w3212","8719322221148"
"481011w3234","8719322221131"
"481011w3236","8719322221124"
"481027e1299","8719322221100"
"48102744099","8719322221094"
"48102703399","8719322221087"
"48102745099","8719322221070"
"48102700399","8719322221063"
"48102700499","8719322221056"
"48102702099","8719322221049"
"48102700299","8719322221032"
"48102700199","8719322221025"
"481018e1299","8719322221018"
"48101844099","8719322221001"
"48101812299","8719322220998"
"48101803399","8719322220981"
"48101845099","8719322220974"
"48101800399","8719322220967"
"48101800499","8719322220950"
"48101802099","8719322220943"
"48101800299","8719322220936"
"48102300199","8719322220912"
"48102200199","8719322220905"
"48100400399","8719322220899"
"48100400199","8719322220882"
"48100303399","8719322220875"
"48100344099","8719322220868"
"481003e1299","8719322220851"
"48100345099","8719322220844"
"48100313099","8719322220837"
"48100300399","8719322220820"
"48100300499","8719322220813"
"48100302099","8719322220806"
"48100300299","8719322220790"
"48100300199","8719322220783"
"48101437099","8719322220745"
"48101402099","8719322220738"
"48101400399","8719322220721"
"48101400299","8719322220714"
"48101400199","8719322220707"
"48101737099","8719322220691"
"48101702099","8719322220684"
"48101700399","8719322220677"
"48101700299","8719322220660"
"48101700199","8719322220653"
"48101537099","8719322220646"
"48101502099","8719322220639"
"48101500399","8719322220622"
"48101500299","8719322220615"
"48101500199","8719322220608"
"48100104099","8719322220592"
"48100102099","8719322220578"
"48100120099","8719322220561"
"48100112299","8719322220547"
"48100103399","8719322220530"
"48100123599","8719322220523"
"48100103999","8719322220516"
"48100113099","8719322220509"
"481001e1299","8719322220493"
"48100144099","8719322220486"
"48100114599","8719322220479"
"48100145099","8719322220462"
"48100135099","8719322220455"
"48100103799","8719322220448"
"48100100399","8719322220431"
"48100100499","8719322220424"
"48100100299","8719322220417"
"48100100199","8719322220400"
"48100604099","8719322220394"
"48100602099","8719322220370"
"48100620099","8719322220363"
"48100612299","8719322220349"
"48100603399","8719322220332"
"48100623599","8719322220325"
"48100603999","8719322220318"
"48100613099","8719322220301"
"481006e1299","8719322220295"
"48100644099","8719322220288"
"48100614599","8719322220271"
"48100645099","8719322220264"
"48100635099","8719322220257"
"48100603799","8719322220240"
"48100600399","8719322220233"
"48100600499","8719322220226"
"48100600299","8719322220219"
"48100600199","8719322220202"
"48100504099","8719322220196"
