"sku","tip_velikosti"
"48105300499","all"
"48105345099","all"
"48105300399","all"
"481053h2299","all"
"48105302099","all"
"48105300199","all"
"481056h9599","all"
"48105012299","all"
"48105000499","all"
"48105045099","all"
"48105002099","all"
"48105000199","all"
"48105000399","all"
"481050h2299","all"
"48105000299","all"
"48104812299","all"
"48104800499","all"
"48104845099","all"
"48104802099","all"
"48104800199","all"
"48104800399","all"
"481048h2299","all"
"48104800299","all"
"48105112299","all"
"48105100499","all"
"48105145099","all"
"48105102099","all"
"48105100199","all"
"48105100399","all"
"481051h2299","all"
"48105100299","all"
"48104332636","all"
"48104332634","all"
"48104332612","all"
"481043v4236","all"
"481043v4234","all"
"481043v4212","all"
"48104302036","all"
"48104302034","all"
"48104302012","all"
"481043h2236","all"
"481043h2234","all"
"481043h2212","all"
"48104400134","all"
"48104500199","all"
"48103800199","all"
"48103700199","all"
"48103600199","all"
"48101263836","all"
"48101263834","all"
"48101263812","all"
"481012e5836","all"
"481012e5834","all"
"481012e5812","all"
"48103502299","all"
"48103402299","all"
"48101996399","all"
"481035v4299","all"
"481035w0599","all"
"48103500199","all"
"48103503999","all"
"48103532699","all"
"481034v4299","all"
"481034w0599","all"
"48103400199","all"
"48101732699","all"
"481026910j6","all"
"481026910j5","all"
"481026w06j6","all"
"481026w06j5","all"
"481026908j6","all"
"481026908j5","all"
"481026898j6","all"
"481026898j5","all"
"48103103999","all"
"48102712299","all"
"48100804099","all"
"48100803799","all"
"48100800199","all"
"481012a6234","all"
"48101281912","all"
"48101281936","all"
"481012a6236","all"
"48101281934","all"
"481012a6212","all"
"48102050899","all"
"48102003799","all"
"48102012099","all"
"48102067099","all"
"48101989699","all"
"48101935299","all"
"48101941399","all"
"481019e5899","all"
"48102220099","all"
"48102200499","all"
"48102203399","all"
"48102200399","all"
"48102203999","all"
"48102200299","all"
"481025e1299","all"
"48102502099","all"
"48102500399","all"
"48102500299","all"
"48102500199","all"
"481017v4399","all"
"481017h2299","all"
"481017v4299","all"
"48101758099","all"
"48101750899","all"
"48101757499","all"
"48101657499","all"
"48101632699","all"
"48101650899","all"
"48101658099","all"
"48101600299","all"
"48101637099","all"
"481016v4399","all"
"48101602099","all"
"481016v4299","all"
"48101600399","all"
"48101600199","all"
"48101550899","all"
"48101558099","all"
"481015h2299","all"
"481015v4399","all"
"48101557499","all"
"481015v4299","all"
"48101532699","all"
"48100200399","all"
"48100202099","all"
"48100200199","all"
"481031v4399","all"
"481031h2299","all"
"48103403999","all"
"481003h2299","all"
"48103432699","all"
"481003v4399","all"
"481007040i3","all"
"481007040i2","all"
"481007040i1","all"
"481007037i3","all"
"481007037i2","all"
"481007037i1","all"
"48100904099","all"
"48100903799","all"
"48103103799","all"
"48103157499","all"
"48103158099","all"
"481031v4299","all"
"48103150899","all"
"48100357499","all"
"48100358099","all"
"481003v4299","all"
"48100350899","all"
"48100157499","all"
"48100158099","all"
"481001v4299","all"
"48100150899","all"
"48100657499","all"
"48100658099","all"
"481006v4299","all"
"48100650899","all"
"48100557499","all"
"48100558099","all"
"481005v4299","all"
"48100550899","all"
"481019a6299","all"
"48101987199","all"
"481019h0999","all"
"48101981999","all"
"48101994199","all"
"48101963899","all"
"481026902j6","all"
"481026902j5","all"
"481013440i6","all"
"481013440i5","all"
"481013440i4","all"
"481013e12i6","all"
"481013e12i5","all"
"481013e12i4","all"
"481013001i6","all"
"481013001i5","all"
"481013001i4","all"
"481007440i3","all"
"481007440i2","all"
"481007440i1","all"
"481007e12i3","all"
"481007e12i2","all"
"481007e12i1","all"
"481007001i3","all"
"481007001i2","all"
"481007001i1","all"
"48100062299","all"
"481000g2199","all"
"48100090299","all"
"48100944099","all"
"481009e1299","all"
"48100900199","all"
"48102137036","all"
"48102137034","all"
"48102137012","all"
"481021e1236","all"
"481021e1234","all"
"481021e1212","all"
"48102144036","all"
"48102144034","all"
"48102144012","all"
"48102102036","all"
"48102102034","all"
"48102102012","all"
"48102100236","all"
"48102100234","all"
"48102100212","all"
"48102100336","all"
"48102100334","all"
"48102100312","all"
"48102100136","all"
"48102100134","all"
"48102100112","all"
"48101100236","all"
"48101100234","all"
"48101100212","all"
"48101100336","all"
"48101100334","all"
"48101100312","all"
"48101100136","all"
"48101100134","all"
"48101100112","all"
"48103135099","all"
"48103114599","all"
"48103137099","all"
"48103113099","all"
"48103145099","all"
"48103100399","all"
"48103100499","all"
"48103102099","all"
"48103100299","all"
"48103100199","all"
"481011w3212","all"
"481011w3234","all"
"481011w3236","all"
"481027e1299","all"
"48102744099","all"
"48102703399","all"
"48102745099","all"
"48102700399","all"
"48102700499","all"
"48102702099","all"
"48102700299","all"
"48102700199","all"
"481018e1299","all"
"48101844099","all"
"48101812299","all"
"48101803399","all"
"48101845099","all"
"48101800399","all"
"48101800499","all"
"48101802099","all"
"48101800299","all"
"48102300199","all"
"48102200199","all"
"48100400399","all"
"48100400199","all"
"48100303399","all"
"48100344099","all"
"481003e1299","all"
"48100345099","all"
"48100313099","all"
"48100300399","all"
"48100300499","all"
"48100302099","all"
"48100300299","all"
"48100300199","all"
"48101437099","all"
"48101402099","all"
"48101400399","all"
"48101400299","all"
"48101400199","all"
"48101737099","all"
"48101702099","all"
"48101700399","all"
"48101700299","all"
"48101700199","all"
"48101537099","all"
"48101502099","all"
"48101500399","all"
"48101500299","all"
"48101500199","all"
"48100104099","all"
"48100102099","all"
"48100120099","all"
"48100112299","all"
"48100103399","all"
"48100123599","all"
"48100103999","all"
"48100113099","all"
"481001e1299","all"
"48100144099","all"
"48100114599","all"
"48100145099","all"
"48100135099","all"
"48100103799","all"
"48100100399","all"
"48100100499","all"
"48100100299","all"
"48100100199","all"
"48100604099","all"
"48100602099","all"
"48100620099","all"
"48100612299","all"
"48100603399","all"
"48100623599","all"
"48100603999","all"
"48100613099","all"
"481006e1299","all"
"48100644099","all"
"48100614599","all"
"48100645099","all"
"48100635099","all"
"48100603799","all"
"48100600399","all"
"48100600499","all"
"48100600299","all"
"48100600199","all"
"48100504099","all"
"48100502099","all"
"48100520099","all"
"48100512299","all"
"48100503399","all"
"48100523599","all"
"48100503999","all"
"48100513099","all"
"481005e1299","all"
"48100544099","all"
"48100514599","all"
"48100545099","all"
"48100535099","all"
"48100503799","all"
"48100500399","all"
"48100500499","all"
"48100500299","all"
"48100500199","all"
"33023401799","all"
"33010405299","all"
"33010755099","all"
"33010700199","all"
"33010954099","all"
"33010900499","all"
"33010354099","all"
"33010300499","all"
"33012096399","all"
"330120a8099","all"
"33012081099","all"
"330102a8099","all"
"33010296399","all"
"33010281099","all"
"33010298099","all"
"33023498199","all"
"330234q6299","all"
"33022705299","all"
"33022700399","all"
"33022700299","all"
"33022605299","all"
"33022600399","all"
"33022600299","all"
"330234y2299","all"
"33023431399","all"
"330234g6199","all"
"330234y2399","all"
"33023105099","all"
"33023100499","all"
"33023100399","all"
"33023100299","all"
"33023167099","all"
"33023100199","all"
"33022755099","all"
"33022767099","all"
"33022737099","all"
"33022614599","all"
"33022607699","all"
"33022800399","all"
"33022800299","all"
"33022801899","all"
"33022807699","all"
"33022500499","all"
"33022500399","all"
"33022500299","all"
"33022567099","all"
"33023236199","all"
"33023280899","all"
"33023226199","all"
"33023285199","all"
"33023282699","all"
"33023054099","all"
"33023005099","all"
"33023000499","all"
"33023000399","all"
"33023000299","all"
"33023067099","all"
"33023007699","all"
"33023037099","all"
"33023000199","all"
"33023655099","all"
"33023655599","all"
"33023355099","all"
"33023355599","all"
"33022900399","all"
"33022900299","all"
"33022900199","all"
"33023705099","all"
"33023704899","all"
"33023700499","all"
"33023700399","all"
"33023700299","all"
"33023720099","all"
"33023700199","all"
"33023703799","all"
"33022400399","all"
"33022400299","all"
"33022467099","all"
"33022300299","all"
"330223p6299","all"
"330223z1799","all"
"33022255099","all"
"33022200399","all"
"33022200299","all"
"33022207199","all"
"33022259099","all"
"33022105099","all"
"33022100499","all"
"33022155099","all"
"33022100399","all"
"33022100299","all"
"33022167099","all"
"33023505099","all"
"33023504899","all"
"33023500499","all"
"33023500399","all"
"33023500299","all"
"33023503799","all"
"33022054099","all"
"33022005099","all"
"33022004899","all"
"33022000499","all"
"33022055099","all"
"33022000399","all"
"33022000299","all"
"33022008599","all"
"33022067099","all"
"330220p6299","all"
"33022031099","all"
"33022037099","all"
"33022000199","all"
"33022012599","all"
"33022003799","all"
"330220z1799","all"
"33010700499","all"
"330118zk399","all"
"33011607699","all"
"330113j6299","all"
"33011603399","all"
"33011605099","all"
"33011600499","all"
"33011600399","all"
"33011600299","all"
"33011620099","all"
"33011600199","all"
"33011603799","all"
"33011555099","all"
"33011500399","all"
"33011500299","all"
"33011555599","all"
"33011567099","all"
"33011500199","all"
"33011705099","all"
"33011700499","all"
"33011700399","all"
"33011700299","all"
"33011700199","all"
"33010805099","all"
"33010855099","all"
"33010800399","all"
"33010800299","all"
"33010867099","all"
"33010800199","all"
"33011805099","all"
"33011800399","all"
"33011800299","all"
"33011867099","all"
"33011903999","all"
"33011005099","all"
"33011004899","all"
"33011000499","all"
"33011000399","all"
"33011000299","all"
"33011055599","all"
"330110zc399","all"
"33010404899","all"
"33010422999","all"
"33010400499","all"
"33010455099","all"
"33010400399","all"
"33010400299","all"
"33010455599","all"
"33010467099","all"
"330104zc399","all"
"33010400199","all"
"330111j6299","all"
"33011105099","all"
"33011104899","all"
"33011100499","all"
"33011100399","all"
"33011100299","all"
"330111zc499","all"
"330119j6299","all"
"33011905099","all"
"33011955099","all"
"33011900399","all"
"33011900299","all"
"33011908599","all"
"33011937099","all"
"33011923599","all"
"33011300399","all"
"33011300299","all"
"33011308599","all"
"33011303999","all"
"33011337099","all"
"330113zc499","all"
"33010767099","all"
"33010705099","all"
"33010700399","all"
"33010700299","all"
"33010105099","all"
"33010100399","all"
"33010100299","all"
"33010167099","all"
"33016667099","all"
"33010305099","all"
"33010355099","all"
"33010300399","all"
"33010300299","all"
"33010355599","all"
"33010367099","all"
"33010300199","all"
"33010905099","all"
"33010955099","all"
"33010900399","all"
"33010900299","all"
"33010955599","all"
"33010967099","all"
"33010900199","all"
"33010288399","all"
"33010263499","all"
"33010285799","all"
"33010280899","all"
"33010271299","all"
"33010226199","all"
"33010290299","all"
"33012088399","all"
"33012063499","all"
"33012085799","all"
"33012080899","all"
"33012071299","all"
"33012026199","all"
"33012098099","all"
"33012090299","all"
"33800054099","all"
"338000zc299","all"
"33800012599","all"
"33800003799","all"
"33800023599","all"
"33011445599","all"
"33011455099","all"
"33011400399","all"
"33011400299","all"
"33011408599","all"
"33011407199","all"
"33011459099","all"
