"sku","stil"
"481005e1499","48.1005"
"481003e1499","48.1003"
"481031e1499","48.1031"
"481056w2899","48.1056"
"481056w3099","48.1056"
"48105685699","48.1056"
"481056w2999","48.1056"
"48101145036","48.1011"
"48101145034","48.1011"
"48101145012","48.1011"
"48101100436","48.1011"
"48101100434","48.1011"
"48101100412","48.1011"
"481058h3199","48.1058"
"481058y7299","48.1058"
"481058y7199","48.1058"
"481058y7399","48.1058"
"481046e0599","48.1046"
"481046w2799","48.1046"
"48104685899","48.1046"
"48104685699","48.1046"
"48104100199","48.1041"
"48104000199","48.1040"
"48103900199","48.1039"
"481057q4199","48.1057"
"48105785699","48.1057"
"48105212299","48.1052"
"48105200499","48.1052"
"48105245099","48.1052"
"48105200399","48.1052"
"481052h2299","48.1052"
"48105202099","48.1052"
"48105200299","48.1052"
"48105312299","48.1053"
"48105300499","48.1053"
"48105345099","48.1053"
"48105300399","48.1053"
"481053h2299","48.1053"
"48105302099","48.1053"
"48105300199","48.1053"
"481056h9599","48.1056"
"48105012299","48.1050"
"48105000499","48.1050"
"48105045099","48.1050"
"48105002099","48.1050"
"48105000199","48.1050"
"48105000399","48.1050"
"481050h2299","48.1050"
"48105000299","48.1050"
"48104812299","48.1048"
"48104800499","48.1048"
"48104845099","48.1048"
"48104802099","48.1048"
"48104800199","48.1048"
"48104800399","48.1048"
"481048h2299","48.1048"
"48104800299","48.1048"
"48105112299","48.1051"
"48105100499","48.1051"
"48105145099","48.1051"
"48105102099","48.1051"
"48105100199","48.1051"
"48105100399","48.1051"
"481051h2299","48.1051"
"48105100299","48.1051"
"48104332636","48.1043"
"48104332634","48.1043"
"48104332612","48.1043"
"481043v4236","48.1043"
"481043v4234","48.1043"
"481043v4212","48.1043"
"48104302036","48.1043"
"48104302034","48.1043"
"48104302012","48.1043"
"481043h2236","48.1043"
"481043h2234","48.1043"
"481043h2212","48.1043"
"48104400134","48.1044"
"48104500199","48.1045"
"48103800199","48.1038"
"48103700199","48.1037"
"48103600199","48.1036"
"48101263836","48.1012"
"48101263834","48.1012"
"48101263812","48.1012"
"481012e5836","48.1012"
"481012e5834","48.1012"
"481012e5812","48.1012"
"48103502299","48.1035"
