"sku","teza"
"481013001i4",0.8
"481007440i3",0.58
"481007440i2",0.56
"481007440i1",0.49
"481007e12i3",0.58
"481007e12i2",0.56
"481007e12i1",0.49
"481007001i3",0.58
"481007001i2",0.56
"481007001i1",0.49
"48100062299",0.05
"481000g2199",0.05
"48100090299",0.05
"48100944099",0.25
"481009e1299",0.25
"48100900199",0.25
"48102137036",1.63
"48102137034",1.54
"48102137012",1.36
"481021e1236",1.63
"481021e1234",1.54
"481021e1212",1.36
"48102144036",1.63
"48102144034",1.54
"48102144012",1.36
"48102102036",1.63
"48102102034",1.54
"48102102012",1.36
"48102100236",1.63
"48102100234",1.54
"48102100212",1.36
"48102100336",1.63
"48102100334",1.54
"48102100312",1.36
"48102100136",1.63
"48102100134",1.54
"48102100112",1.36
"48101100236",1.13
"48101100234",1.12
"48101100212",1.11
"48101100336",1.13
"48101100334",1.12
"48101100312",1.11
"48101100136",1.13
"48101100134",1.12
"48101100112",1.11
"48103135099",0.03
"48103114599",0.03
"48103137099",0.03
"48103113099",0.03
"48103145099",0.03
"48103100399",0.03
"48103100499",0.03
"48103102099",0.03
"48103100299",0.03
"48103100199",0.03
"481011w3212",1.11
"481011w3234",1.12
"481011w3236",1.13
"481027e1299",0.18
"48102744099",0.18
"48102703399",0.18
"48102745099",0.18
"48102700399",0.18
"48102700499",0.18
"48102702099",0.18
"48102700299",0.18
"48102700199",0.18
"481018e1299",0.09
"48101844099",0.09
"48101812299",0.09
"48101803399",0.09
"48101845099",0.09
"48101800399",0.09
"48101800499",0.09
"48101802099",0.09
"48101800299",0.09
"48102300199",0.39
"48102200199",0.2
"48100400399",0.04
"48100400199",0.04
"48100303399",0.08
"48100344099",0.08
"481003e1299",0.08
"48100345099",0.08
"48100313099",0.08
"48100300399",0.08
"48100300499",0.08
"48100302099",0.08
"48100300299",0.08
"48100300199",0.08
"48101437099",0.99
"48101402099",0.99
"48101400399",0.99
"48101400299",0.99
"48101400199",0.99
"48101737099",0.54
"48101702099",0.54
"48101700399",0.54
"48101700299",0.54
"48101700199",0.54
"48101537099",0.28
"48101502099",0.28
"48101500399",0.28
"48101500299",0.28
"48101500199",0.28
"48100104099",0.81
"48100102099",0.81
"48100120099",0.81
"48100112299",0.81
"48100103399",0.81
"48100123599",0.81
"48100103999",0.81
"48100113099",0.81
"481001e1299",0.81
"48100144099",0.81
"48100114599",0.81
"48100145099",0.81
"48100135099",0.81
"48100103799",0.81
"48100100399",0.81
"48100100499",0.81
"48100100299",0.81
"48100100199",0.81
"48100604099",0.44
"48100602099",0.44
"48100620099",0.44
"48100612299",0.44
"48100603399",0.44
"48100623599",0.44
"48100603999",0.44
"48100613099",0.44
"481006e1299",0.44
"48100644099",0.44
"48100614599",0.44
"48100645099",0.44
"48100635099",0.44
"48100603799",0.44
"48100600399",0.44
"48100600499",0.44
"48100600299",0.44
"48100600199",0.44
"48100504099",0.23
"48100502099",0.23
"48100520099",0.23
"48100512299",0.23
"48100503399",0.23
"48100523599",0.23
"48100503999",0.23
"48100513099",0.23
"481005e1299",0.23
"48100544099",0.23
"48100514599",0.23
"48100545099",0.23
"48100535099",0.23
"48100503799",0.23
"48100500399",0.23
"48100500499",0.23
"48100500299",0.23
"48100500199",0.23
"33023401799",0.07
"33010405299",0.09
"33010755099",0.05
"33010700199",0.05
"33010954099",0.09
"33010900499",0.09
"33010354099",0.09
"33010300499",0.09
"33012096399",0.09
"330120a8099",0.09
"33012081099",0.09
"330102a8099",0.09
"33010296399",0.09
"33010281099",0.09
"33010298099",0.09
"33023498199",0.07
"330234q6299",0.07
"33022705299",0.07
"33022700399",0.07
"33022700299",0.07
"33022605299",0.08
"33022600399",0.08
"33022600299",0.08
"330234y2299",0.07
"33023431399",0.07
"330234g6199",0.07
"330234y2399",0.07
"33023105099",0.07
"33023100499",0.07
"33023100399",0.07
"33023100299",0.07
"33023167099",0.07
"33023100199",0.07
"33022755099",0.07
"33022767099",0.07
"33022737099",0.07
"33022614599",0.08
"33022607699",0.08
"33022800399",0.06
"33022800299",0.06
"33022801899",0.06
"33022807699",0.06
"33022500499",0.07
"33022500399",0.07
"33022500299",0.07
"33022567099",0.07
"33023236199",0.08
"33023280899",0.08
"33023226199",0.08
"33023285199",0.08
"33023282699",0.08
"33023054099",0.08
"33023005099",0.08
"33023000499",0.08
"33023000399",0.08
"33023000299",0.08
"33023067099",0.08
"33023007699",0.08
"33023037099",0.08
"33023000199",0.08
"33023655099",0.06
"33023655599",0.06
"33023355099",0.08
"33023355599",0.08
"33022900399",0.08
"33022900299",0.08
"33022900199",0.08
"33023705099",0.05
"33023704899",0.05
"33023700499",0.05
"33023700399",0.05
"33023700299",0.05
"33023720099",0.05
"33023700199",0.05
"33023703799",0.05
"33022400399",0.15
"33022400299",0.15
"33022467099",0.15
"33022300299",0.07
"330223p6299",0.07
"330223z1799",0.07
"33022255099",0.74
"33022200399",0.74
"33022200299",0.74
"33022207199",0.74
"33022259099",0.74
"33022105099",0.06
"33022100499",0.06
"33022155099",0.06
"33022100399",0.06
"33022100299",0.06
"33022167099",0.06
"33023505099",0.06
"33023504899",0.06
"33023500499",0.06
"33023500399",0.06
"33023500299",0.06
"33023503799",0.06
"33022054099",0.07
"33022005099",0.07
"33022004899",0.07
"33022000499",0.07
"33022055099",0.07
"33022000399",0.07
"33022000299",0.07
"33022008599",0.07
"33022067099",0.07
"330220p6299",0.07
"33022031099",0.07
"33022037099",0.07
"33022000199",0.07
"33022012599",0.07
"33022003799",0.07
"330220z1799",0.07
"33010700499",0.05
"330118zk399",0.09
"33011607699",0.06
"330113j6299",0.08
"33011603399",0.06
"33011605099",0.06
"33011600499",0.06
"33011600399",0.06
"33011600299",0.06
"33011620099",0.06
"33011600199",0.06
"33011603799",0.06
"33011555099",0.07
"33011500399",0.07
"33011500299",0.07
"33011555599",0.07
"33011567099",0.07
"33011500199",0.07
"33011705099",0.06
"33011700499",0.06
"33011700399",0.06
"33011700299",0.06
"33011700199",0.06
"33010805099",0.1
"33010855099",0.1
"33010800399",0.1
"33010800299",0.1
"33010867099",0.1
"33010800199",0.1
"33011805099",0.09
"33011800399",0.09
"33011800299",0.09
"33011867099",0.09
"33011903999",0.06
"33011005099",0.07
"33011004899",0.07
"33011000499",0.07
"33011000399",0.07
"33011000299",0.07
"33011055599",0.07
"330110zc399",0.07
"33010404899",0.09
"33010422999",0.09
"33010400499",0.09
"33010455099",0.09
"33010400399",0.09
"33010400299",0.09
"33010455599",0.09
"33010467099",0.09
"330104zc399",0.09
"33010400199",0.09
"330111j6299",0.05
"33011105099",0.05
"33011104899",0.05
"33011100499",0.05
"33011100399",0.05
"33011100299",0.05
"330111zc499",0.05
"330119j6299",0.06
"33011905099",0.06
"33011955099",0.06
"33011900399",0.06
"33011900299",0.06
"33011908599",0.06
"33011937099",0.06
"33011923599",0.06
"33011300399",0.08
"33011300299",0.08
"33011308599",0.08
"33011303999",0.08
"33011337099",0.08
"330113zc499",0.08
"33010767099",0.05
"33010705099",0.05
"33010700399",0.05
"33010700299",0.05
"33010105099",0.03
"33010100399",0.03
"33010100299",0.03
"33010167099",0.03
"33016667099",0.06
"33010305099",0.09
"33010355099",0.09
"33010300399",0.09
"33010300299",0.09
"33010355599",0.09
"33010367099",0.09
"33010300199",0.09
"33010905099",0.09
"33010955099",0.09
"33010900399",0.09
"33010900299",0.09
"33010955599",0.09
"33010967099",0.09
"33010900199",0.09
"33010288399",0.09
"33010263499",0.09
"33010285799",0.09
"33010280899",0.09
"33010271299",0.09
"33010226199",0.09
"33010290299",0.09
"33012088399",0.09
"33012063499",0.09
"33012085799",0.09
"33012080899",0.09
"33012071299",0.09
"33012026199",0.09
"33012098099",0.09
"33012090299",0.09
"33800054099",0.09
"338000zc299",0.09
"33800012599",0.09
"33800003799",0.09
"33800023599",0.09
"33011445599",0.1
"33011455099",0.1
"33011400399",0.1
"33011400299",0.1
"33011408599",0.1
"33011407199",0.1
"33011459099",0.1
"33011412599",0.1
"33011403799",0.1
"33011205099",0.08
"33011255099",0.08
"33011200399",0.08
"33011200299",0.08
"33011208599",0.08
"33011207199",0.08
"33011259099",0.08
"33011212599",0.08
"33010654099",0.06
"330106zc299",0.06
"33010605099",0.06
"33010645599",0.06
"33010655099",0.06
"33010600399",0.06
"33010600299",0.06
"33010608599",0.06
"33010607199",0.06
"33010659099",0.06
"33010612599",0.06
"33010603799",0.06
"33010055099",0.08
"33010000399",0.08
"33010000299",0.08
"33010008599",0.08
"33010037099",0.08
"33010623599",0.06
"33708012599",0.08
"337090zc299",0.07
"33709012599",0.07
"33709003799",0.07
"330112o0299",0.08
"330106o0299",0.06
"330114o0299",0.1
"33800045599",0.09
"33800007199",0.09
"330114zc299",0.1
"330100zc299",0.08
"33010067099",0.08
"33010059099",0.08
"33010012599",0.08
"33010003799",0.08
"33013667099",0.07
"33013605099",0.07
"33013600399",0.07
"33013600299",0.07
"33013600199",0.07
"330210zg599",0.09
"330210zg699",0.09
"332070t0999",0.1
"332070z1799",0.1
"330210zg899",0.09
"33021063499",0.09
"330210zg499",0.09
"330210z7699",0.09
"33021005099",0.09
"33021000399",0.09
"33021000299",0.09
"330210z6999",0.09
"33021000199",0.09
"33013855099",0.05
"332070t2299",0.1
"330210zg799",0.09
"33016655099",0.06
"33016600399",0.06
"33016600299",0.06
"33016655599",0.06
"33016600199",0.06
"33020067099",0.08
"33020005099",0.08
"33020000399",0.08
"33020000299",0.08
"33020000199",0.08
"33015605099",0.05
"33015600399",0.05
"33015600299",0.05
"33015603999",0.05
"330156p6299",0.05
"33015600199",0.05
"33801055099",0.08
"33801000399",0.08
"33801000299",0.08
"33801067099",0.08
"33800005099",0.09
"338000o0299",0.09
"33800055099",0.09
"33800000399",0.09
"33800000299",0.09
"33800008599",0.09
"33800059099",0.09
"33709055099",0.07
"33708045599",0.08
"33708055099",0.08
"33708054099",0.08
"33708000399",0.08
"33708000299",0.08
"33708008599",0.08
"33708067099",0.08
"33708059099",0.08
"33708037099",0.08
"33709059099",0.07
"33709037099",0.07
"33709054099",0.07
"33709000399",0.07
"33709000299",0.07
"33709008599",0.07
"33709007199",0.07
"336080t0999",0.06
"337040o0299",0.08
"336060y7499",0.07
"33700000499",0.1
"33700020099",0.1
"33601085799",0.1
"336010y0699",0.1
"33601078099",0.1
"330007o5399",0.07
"330007o0299",0.07
"336060q6299",0.07
"336060y2499",0.07
"33606095799",0.07
"336060y2199",0.07
"336060u2999",0.07
"336060y2299",0.07
"33606067899",0.07
"336060y2099",0.07
"33606098199",0.07
"336060y1499",0.07
"33606031399",0.07
"336060y1899",0.07
"336060y2399",0.07
"33606087199",0.07
"33707007499",0.08
"33707000399",0.08
"33707000299",0.08
"33707020099",0.08
"33607005099",0.07
"33608005099",0.06
"330007d2199",0.07
"33000725599",0.07
"33000703199",0.07
"33000704299",0.07
"33705045599",0.06
"337050w3999",0.06
"337010m8699",0.07
"337010o0199",0.07
"337010l2299",0.07
"33701007199",0.07
"33701007799",0.07
"337010y2599",0.07
"33700003399",0.1
"33700005099",0.1
"33700000399",0.1
"33700000299",0.1
"33700067099",0.1
"33700003999",0.1
"33700000199",0.1
"33604005099",0.06
"336040p6299",0.06
"336040t2299",0.06
"33604005299",0.06
"33604000399",0.06
"33604000299",0.06
"33604067099",0.06
"33604037099",0.06
"33605005299",0.08
"33605055099",0.08
"33605067099",0.08
"33605007699",0.08
"33605037099",0.08
"336050w3999",0.08
"33605000399",0.08
"33605000299",0.08
"33607000499",0.07
"33607000399",0.07
"33607000299",0.07
"33607067099",0.07
"33607000199",0.07
"33603005099",0.08
"33603007699",0.08
"336030p6299",0.08
"33603000499",0.08
"33603000399",0.08
"33603000299",0.08
"33603000199",0.08
"33608000399",0.06
"33608000299",0.06
"33608067099",0.06
"33608000199",0.06
"33609088399",0.07
"33609094199",0.07
"33609063499",0.07
"33609085799",0.07
"33609080899",0.07
"33609026199",0.07
"33609090299",0.07
"33702023599",0.08
"337040y2699",0.08
"33704007199",0.08
"337040y2599",0.08
"33704007799",0.08
"33705007499",0.06
"33705000399",0.06
"33705000299",0.06
"33705020099",0.06
"33705037099",0.06
"33705007799",0.06
"33703054099",0.05
"33703005099",0.05
"33703008599",0.05
"33703067099",0.05
"33703000399",0.05
"33703000299",0.05
"337020o1399",0.08
"33702007499",0.08
"337020v7899",0.08
"33702007799",0.08
"33702020099",0.08
"33702037099",0.08
"337020w3999",0.08
"33702055099",0.08
"33702000399",0.08
"33702000299",0.08
"33505054099",0.08
"33505067099",0.08
"33013326199",0.1
"33013380899",0.1
"33018105099",0.07
"33018103999",0.07
